class,Zdhhc1,Zdhhc2,Zdhhc3,Zdhhc4,Zdhhc5,Zdhhc6,Zdhhc7,Zdhhc8,Zdhhc9,Zdhhc11,Zdhhc12,Zdhhc13,Zdhhc14,Zdhhc15,Zdhhc16,Zdhhc17,Zdhhc18,Zdhhc19,Zdhhc20,Zdhhc21,Zdhhc22,Zdhhc23,Zdhhc24,Zdhhc25,Abhd4,Abhd6,Abhd10,Abhd11,Abhd12,Abhd13,Abhd16a,Abhd17a,Abhd17b,Abhd17c,Golga7,Golga7b,Lypla1,Lypla2,Ppt1,Selenok
01 IT-ET Glut,2.481601433451477,4.994838123034756,3.5455876399975033,1.2127465273781755,2.1199109040663706,3.043567914108819,1.7953330635942644,4.141515399341916,2.1315429142128743,0.008864041127930171,0.20313798440669645,2.108519871004041,5.299606001736513,0.8549009362783275,1.386102804553199,5.051449099650318,1.9172267900031013,0.05271574113065436,4.811913521287448,5.301122490656375,3.8883755268894804,2.128290516236732,1.3803816801043394,4.938401442586269e-06,0.539186021326966,4.321091379210417,1.270510118229807,1.5492129206892893,6.480037334901178,2.080780842458657,2.2532075788832158,5.183463558394196,3.671333557152712,1.9726184243451974,3.911172036031074,6.1264543767250865,2.2157948440408206,2.785129013244809,4.703892168925557,6.604048322205063
02 NP-CT-L6b Glut,2.5641354079063565,4.729968657621886,3.549291209838405,1.1334525489577472,1.9918541008170576,2.4358390559502925,1.4896476748744436,2.9227911091357184,2.9844640605524186,0.018937551065764353,0.3039890811223801,2.4888953480348732,4.357058938133313,0.8702497591602593,1.1768210115732125,5.0748182185488675,1.4911705721426831,0.034908881158170625,4.8577655212043815,5.255120987004386,3.682402943254969,3.070194966801561,1.230967980418682,0.0,0.4459953539346849,3.0621813163733407,1.2559769328959038,1.2597021230118008,6.463332324109671,1.8439609526754728,2.110903423412276,4.818742827512642,3.304268061706204,1.7174337198665433,3.534039623009516,5.592179143590747,2.13991168381649,2.8592042828843036,4.700791434936288,6.518914856665767
03 OB-CR Glut,2.5882494472622097,1.7167793796176003,1.8602239665981106,0.6791208486575012,1.2690980052307814,1.3944367385645795,0.7326876959111522,1.5450112549593946,0.9347127055081527,0.004917538838739638,0.15797437105084805,1.1568990744508136,1.4140054780481146,0.3908619854668789,0.7035914077082595,3.3492359688428555,1.2717980557776407,0.059781824739719054,3.5223348538330925,3.6031115414687664,2.435646425434846,0.661630479749804,0.5816624803765155,0.0,0.5481431296668464,2.2994009102068533,1.1737636907160194,1.139959259005195,3.7040979080488277,1.0350450188552955,2.017112765493247,2.674953577827052,2.4840899440060378,1.085361779248762,2.929673504374276,4.093278499476835,2.110412822821017,1.483641032830509,2.994925175319309,6.205633329399882
04 DG-IMN Glut,2.1927084949302835,1.4150508822582109,1.86688366891853,1.0950210085520253,0.825615992518043,2.0572707129130774,0.8993093377779123,2.024602192237815,0.834983368083405,0.00384155906205474,0.19002791664850005,1.3679519299649505,3.065855239050206,1.059163732185666,0.7968128941817512,3.1843740592720566,1.1751047594978705,0.07385567877560356,3.8540047291660615,3.8736903416006987,0.39155788242545586,1.1329200991255561,0.7920019452506747,0.0,0.4160226067536608,3.6297575514735327,0.8546655230020627,0.6185537065762309,4.925034944838611,1.3371926450562044,1.5328599456104144,2.9218326212219297,2.7374087344171065,2.721303256932358,2.4060761690173686,1.5513729024197969,1.2953539461304457,0.7602041494807904,3.784394189438391,4.263919072771199
05 OB-IMN GABA,2.3642235465591863,3.243273784184096,1.6454753788439578,0.6137643992624732,1.1249075865528644,1.399660394891726,0.7457301589234441,1.8062580861978044,0.918214228893488,0.0024040174077063752,0.09431739124115632,1.3736431354482892,3.458824681751349,0.6512827050756631,0.6702572707209404,4.338745194730868,1.3057263500535081,0.057066812756733504,3.572502462221335,3.2628959393368655,0.07119367795576839,0.045573808160356645,0.5552642808417645,0.0,0.36754304243241664,2.1127194181242372,1.0830152077252684,0.4454165685099448,3.158192228200622,0.9397337175928575,1.1146856254804847,2.852663458630073,3.0118787645821246,1.1108367027467876,2.3384959634316314,1.7747006770526594,1.373593177980109,1.4921563045849602,3.009562791029231,4.589971854439185
06 CTX-CGE GABA,2.157315699663458,4.737907992853065,3.113125246163719,0.7849936667527296,1.7083451743744358,2.0412742541666185,1.0337370551269027,2.1250665508169075,1.644510139227668,0.004245028401334813,0.08220985141850785,1.5375031591682702,2.9564935427172574,0.45676922396025166,0.9501821586493622,4.141975087252206,1.0249218704806242,0.026238212475218868,4.23542553065177,4.6468366252840285,1.6354233806228204,0.35677022620726045,0.9465834543625966,0.0,0.35217075929336344,3.690870187696046,1.1436902885435913,1.2482582008929883,5.287809040125388,1.551961732187482,1.62085464124994,3.3757845029278615,3.7782060233425425,1.3491883402751061,3.6121653579970734,2.8968578524241493,1.9358416533616258,2.6253222765489856,4.478400413615087,6.083795674363436
07 CTX-MGE GABA,2.4872326238894438,5.645745172833383,3.5628805434747277,0.9428012946990031,2.306385948537203,2.5122951635697475,1.3152294511256437,2.7013840003345018,1.9098285444666392,0.005622085021433346,0.07610951930341867,1.5936570587569092,3.367730198225987,0.7038828250040424,1.1471843355561364,5.005875227553558,1.960825548419233,0.044243245500357645,4.8378496703436795,4.872385169362516,2.4375327833953455,0.3265919202101603,1.1605449711040767,0.0,0.5097957264074955,3.934691737218303,1.367684410323078,1.7952392658837946,6.319614615205826,1.9551591239221784,1.818531317241597,4.106401146616774,3.8826323820174986,1.6605873644056584,4.028693930620486,3.897914175607016,2.729410837352503,2.5338154714943446,4.833258679835174,6.548880663289921
08 CNU-MGE GABA,2.9314651293073815,6.31839602444746,4.130058355195825,1.0613484911478712,3.2138932701687426,3.064264497780232,1.6686679145260082,3.662295655335499,2.333726649373158,0.01339495667121576,0.19230202021121448,1.9042475668275582,5.056367458718621,1.300780394430331,1.212626696973715,5.9667457648819715,2.5961761344326,0.10385715884930626,6.308264429698642,5.701162230690833,3.0858586904597702,1.0811499356907288,1.6653523146236562,0.0,0.6895863064986476,3.602593510048074,2.2013116853800914,2.100115167373017,6.401898517539832,2.1812252183891214,2.540330276229197,3.935997415331417,4.6137991763089685,1.863095488445317,3.9163044921105543,3.88475835225305,3.3010884118058637,2.954250815831873,5.2899435091172995,6.469714366799609
09 CNU-LGE GABA,2.8337686055710267,5.362611146470497,3.0486865212723546,1.2462869809128503,2.342006374602104,2.593348457354479,1.6342972154396198,3.0461343814470405,1.7310085522027097,0.008275139249004644,0.3525832362496302,2.2107873337659707,7.586686672225269,1.1574516544266682,1.1605568502151373,6.249097926751654,3.364881676998599,0.057239694680634286,5.699149531767823,4.834615477661823,0.9230636440411588,2.2269187939316084,1.1617505028103738,0.0,0.6137305878793751,3.9650252307546183,1.774945144319584,0.9706762053209611,5.871361488768441,1.9659986887200915,2.053782226930438,4.375777178489321,4.505259963105064,2.5457427115645745,3.0364457048633606,2.3475087916014634,2.0252788328573743,2.3059709650499616,4.915584542820461,6.114238176552029
10 LSX GABA,3.557392036761847,5.105470938727073,4.032666810299065,1.3253647955948993,2.9607664464398047,2.7336325649536692,1.953650784312379,3.530502466777454,1.9773070700381836,0.00459687399053292,0.2691299934583523,2.155756934058075,6.685701491410921,1.043363207707059,1.0891014672008386,5.903447126219857,2.358795798670765,0.07473103982709405,6.550638447016133,5.681801014808877,0.6244518998958094,3.3669568175622695,1.8233972109756644,0.0,1.0412265631184585,5.409919876230076,1.9444947679178177,1.1770572791107257,6.150477550748086,2.3945069975537256,2.298851333903892,4.434217537813656,5.195728914451329,2.5140538920361406,3.3384270116441526,3.682913907400963,2.632850390055067,2.641936800108886,5.474581539267123,6.367921720392508
11 CNU-HYa GABA,3.431990606085319,6.6746611999191305,3.5964802471019786,1.385969691759451,2.5833596202935354,3.1333434633582757,1.856808898427132,3.5095106526217794,1.8706467473413664,0.009030970754020942,0.2068184605159027,2.0147591084230476,6.2422890109463705,1.8183418845720865,1.0796971604296752,5.828178215399299,2.3742947371277414,0.11746433968056852,6.487232300888942,5.2187722259722085,3.0751814178235577,1.435143704780857,1.5843195379644641,0.00032350263665816746,0.6652137036140181,4.465134223922945,1.989699888863071,1.5091059047941713,6.055595097135706,1.7872530118074108,2.3412115242147005,3.911664108423668,4.674121858266111,2.170457700964769,3.1779507000795495,3.872345801367769,2.4312106935758178,2.6456380936443336,4.946199817597442,5.880924286106208
