region_of_interest_acronym,Zdhhc1,Zdhhc2,Zdhhc3,Zdhhc4,Zdhhc5,Zdhhc6,Zdhhc7,Zdhhc8,Zdhhc9,Zdhhc11,Zdhhc12,Zdhhc13,Zdhhc14,Zdhhc15,Zdhhc16,Zdhhc17,Zdhhc18,Zdhhc19,Zdhhc20,Zdhhc21,Zdhhc22,Zdhhc23,Zdhhc24,Zdhhc25,Abhd4,Abhd6,Abhd10,Abhd11,Abhd12,Abhd13,Abhd16a,Abhd17a,Abhd17b,Abhd17c,Golga7,Golga7b,Lypla1,Lypla2,Ppt1,Selenok
ACA,2.485893776255025,4.130949621105745,3.2807993291034205,1.0952977111470057,2.1950511475965007,2.8089806712234795,1.5637016005559379,3.227659975628627,2.3765272943208657,0.0128499744054276,0.25670168972559043,2.0394145796117464,4.707410718640096,0.733877739537622,1.1986743943348959,4.784616426637433,1.858402339106838,0.043638974049537725,4.894815216099801,4.841572800577806,3.3976758912135825,2.0398852335148905,1.3202964901648127,0.0,0.9149155971811289,3.814677620696231,1.284339758357916,1.3038408985364682,6.006475811962821,1.844885847094291,2.0908032315624925,4.407945352929468,3.9726660399269305,1.7863727272963559,3.8439434221644997,4.472148255482953,2.414341782812437,2.455106636263771,4.669267277410318,6.212444131419866
AI,2.4448360690965028,4.5923082466943725,3.294948963992534,1.2100807493377106,2.125749419606074,2.6122383207472106,1.7234330205807784,3.292166922554755,2.400265619962432,0.008374273657854132,0.3176272548347741,2.0490862901912275,4.936462722099928,0.8591249380170813,1.2564256049881743,4.841558456023718,1.925097453243486,0.048641586100066046,4.956335445498259,4.903738431236994,3.1757996616139565,1.4799858606095397,1.348370705119214,0.0,0.9160269887050225,3.8921216264876515,1.3719816646540688,1.4875430234681206,6.106435682130736,1.903280317105743,2.1608006469393106,4.333504712812962,4.05006477519287,1.9318553137932812,3.8976197343788974,4.253716549753861,2.3982613040122085,2.761425091622707,4.541006687849015,6.487140596222252
AUD,2.390793805530259,5.531562333514878,3.3203848410096004,1.0956391828291663,1.6085658161002663,2.832159960704436,1.57014652704356,3.602019686918127,2.0787157446786284,0.0023378014706421936,0.13529707293994003,1.9489580239441975,4.975103593225362,0.6992836221330365,1.2303535942790473,4.82888323524413,1.4420266411119453,0.03139615769113558,4.6188771621108256,5.2025834620184765,3.538178150693438,1.6506760437116488,1.0366993820874721,0.0,0.43487190767099754,3.985401041355947,0.9802080564208058,1.4259116297358525,6.208010993356047,1.847598177195609,1.9069129924886075,4.974877291489037,3.3151199261987165,1.6469226058368327,3.894490137371061,6.115586190055837,2.027418536540096,2.6144835958877635,4.694768861269817,6.465047017171481
AUD-TEa-PERI-ECT,2.442198268088331,4.247656810841624,3.399644328695881,1.2916643114802033,2.9230206405159977,2.691967574076348,1.799811458437085,3.7352506885822603,2.7484381407632164,0.010212392597992033,0.38789644220077263,2.1431745945875926,5.515135458452741,1.1640047929085027,1.3752269690405206,4.975622342351996,2.4070798642656603,0.054730014779769645,5.038837032048876,4.796215506152625,2.4428322364458537,1.7759140518055274,1.906721919296755,0.0,1.434165492498857,4.196905131582697,1.7728040760374706,1.2799121706925034,6.0755846704894685,2.2381834684208277,2.578684724484298,4.202728634452749,4.941609648503308,2.140537320504748,3.9300087895737006,3.340479017552791,2.8107121479989514,2.771738742586408,4.664869267625228,6.040330212635236
CB,2.099473084214729,3.0714563611892474,2.1223721155355073,0.7236969825414581,1.9103130491203624,1.6812474576578735,0.8867270547854623,1.8566013239721175,1.470731345258627,0.0029684681582824468,0.10772448077977027,1.382275185638259,5.364254938035517,0.13258948536438564,0.6687069843581518,5.154017033279551,1.885651822337837,0.02560402815641826,3.5849402932195265,4.431041375678627,0.2633920622624915,0.17264578080890453,0.8529092148514554,3.6569443988982395e-05,0.8365989248387533,2.8998238276849486,1.734405442515912,0.5597934296834794,4.301596142289895,1.1383126183490524,3.8114438785599845,3.104385528592539,4.7287730609125385,0.9773671709860564,2.5770986166601064,3.2805440834790978,2.351878205449164,1.6370163761477703,3.5839120466073386,5.00090989196634
CTXsp,2.7532064765516173,3.779363892131621,2.7790090865151957,1.3812097324169128,2.1256921249894174,2.5334433631185744,1.7467022405580783,2.8750162358705706,2.3946116085696607,0.00981290001665057,0.38726392238902996,1.853284406340865,5.486336996093583,1.1758158643790708,1.1633648881700906,4.950855982328201,2.2463662302183462,0.06413359505581151,5.272868982349181,4.48508495134727,2.151366621425605,1.1576482925245075,1.4044533522673288,5.708908763160316e-05,1.4300019468553218,4.10618775224976,1.5064788561886941,1.4363640448335548,5.861297424704141,1.720168515119012,2.0594661910634104,4.094485121337991,4.775139924787466,2.167840545612204,3.6471836384025877,3.1223519082861784,2.402243595196724,2.4338361968167574,4.5098484923688025,5.920141969698438
ENT,2.0572596333916224,3.7869877393660403,2.919636541113383,1.0713865165279517,1.88127437478974,2.3277644177377033,1.4662660993991925,2.7384699070954452,2.05256392025556,0.02749804784139459,0.24713522150927322,1.8304091987608997,4.801521953133746,0.8142051502901352,1.0830030244552618,4.362165993244935,1.77723819693986,0.04342992684335158,4.561572800828307,4.201098037229001,2.579714792389779,1.718155324942576,1.1510536234366484,0.0,0.9568067725065367,4.0801346175651805,1.3424067904561738,1.3415399178826066,5.558263064570851,1.8320568308533023,1.9797362196630428,4.039624220355108,4.114732776212991,1.8705759110981621,3.6126927871884087,3.7668621728083,2.4439977355298,2.363311214566436,4.20363933100976,6.118464603920336
HIP,2.055152629977768,2.691022565883824,2.3257947403919936,1.206093020322512,1.454536746516992,2.1601245779405316,1.1789174677965268,2.166957258994057,1.4834850038446634,0.006964375886624604,0.3018222036222641,1.4739594050644786,4.078644263009424,0.8540019803338444,0.9336851247360526,3.721668668520001,1.5521783312740702,0.05449880502600328,4.4118507167679795,3.7716536521789785,0.42663328706175135,1.4697294337692002,1.0798723061200814,0.0,1.1264544399322252,3.709817008250585,1.0681053360863229,0.8918896160810061,5.46553183445021,1.5639431942392004,1.7885678011299924,3.3303423250080666,3.6636186338210406,2.512264210672539,3.069382070383658,1.9271968022161299,1.8028192068150486,1.7181254830719255,4.078150955850779,5.202798845564621
HY,2.8300290845258225,4.443902237376437,2.6081790448426405,1.2091204041644434,1.9028826876369596,2.50171082146529,1.3838471686056848,2.6663697040989276,1.8674063387923805,0.007792690243816039,0.23846724979982278,1.5439556717101914,4.353887915839978,1.0591257375328127,0.8561274776375076,4.8252290944024585,1.7918567544752164,0.1150244207001169,6.1454081232877185,4.010957871258197,2.1674036909043193,0.8341894125599669,1.073835836914141,0.00020379112209459386,1.4042220198543167,3.08513660245757,1.6145597495470714,1.380339032435333,5.013389362613659,1.2263362964056486,2.1878545348428506,3.1886592190188585,4.423128415468117,1.4249232315428322,3.3954784414126418,2.7621472458936265,2.153204354144966,1.9836184611474637,4.244696022854686,5.911633886086471
LSX,2.6998527056043122,3.583309198808448,2.9368608783866237,1.1359965372680079,2.251974826938308,2.17933123116908,1.47426257086703,2.68567677211703,1.9050459533181707,0.005435038096671869,0.31697083685952254,1.5498746127113343,5.4526945844130115,0.7952378452567322,0.8592608888517971,4.912009556225842,1.8953719904161435,0.06572757289305045,5.64238541479633,4.32408223786715,0.47589099302426363,2.0627457180178066,1.367511303901194,0.0,1.5278362611984582,4.034884134971209,1.549668095976983,0.9516790443715201,5.170128000888071,1.709144338622921,2.002883002166133,3.810225466842487,4.871438868754298,1.8717375121792392,3.4002161199745875,2.367601900976609,2.2113303162208617,1.980584495333707,4.4366981821489535,6.089864947245262
