subclass,Zdhhc1,Zdhhc2,Zdhhc3,Zdhhc4,Zdhhc5,Zdhhc6,Zdhhc7,Zdhhc8,Zdhhc9,Zdhhc11,Zdhhc12,Zdhhc13,Zdhhc14,Zdhhc15,Zdhhc16,Zdhhc17,Zdhhc18,Zdhhc19,Zdhhc20,Zdhhc21,Zdhhc22,Zdhhc23,Zdhhc24,Zdhhc25,Abhd4,Abhd6,Abhd10,Abhd11,Abhd12,Abhd13,Abhd16a,Abhd17a,Abhd17b,Abhd17c,Golga7,Golga7b,Lypla1,Lypla2,Ppt1,Selenok
001 CLA-EPd-CTX Car3 Glut,2.693516787923266,5.354288780558502,3.438357640311107,1.2475102571206618,1.6990781815593208,2.948297944660003,1.989327419648023,4.360308701891406,2.4480247686930614,0.005986140835281225,0.18185742709596278,2.2573485823634774,7.402043161585546,0.8557960529508049,1.397832882051731,5.498784110537396,1.8598117670374243,0.06569261424919424,5.475927010332084,5.539957135260085,3.1539169157728004,1.1106821177052517,1.362072219132347,0.0,0.44369602963234267,4.177498752169927,1.1289584841986517,1.8653910797986923,6.546274057231737,2.0178993286584137,2.6583218064011827,5.21625174102929,3.5709058590448746,1.5987189826794184,3.6459226282936825,6.686424106179222,2.3877258937752655,3.0764701558649046,4.649599795929417,7.417035609949226
002 IT EP-CLA Glut,3.209308525760051,4.743747754276281,3.6904772743513665,1.7857610941250313,2.4674300391647233,3.017443853494445,2.4883134688892135,3.825283954333102,3.4358461708273627,0.01754459574544165,0.45591798202641637,2.590621320280723,6.645006181587164,1.398222705095974,1.51616527610182,6.037119641363781,2.47828971476296,0.0781448307124984,5.634896104081061,5.340274192582296,4.800840678288244,0.9807812997595612,1.778488432583236,0.0,0.5711036447275124,5.165894838369719,1.6268391005578662,1.8289091663935575,6.71752281372105,2.209375867992369,2.2924690086310324,5.341874755827398,4.328139023322876,2.740034890233478,3.7327244345570008,5.1173027442751025,2.514299743770184,3.2452016748463626,4.794951927271305,6.529229148865054
003 L5/6 IT TPE-ENT Glut,2.76115457527308,4.6689015828438825,3.5916513300110964,1.5630252914402967,2.149065183631803,2.993149085673993,2.3838220607858296,4.014809043567941,2.9640751269971095,0.016173201325733383,0.37704713897277076,2.4585793239985465,5.798429834776309,1.2974419356076294,1.4972637226232814,5.073654508799873,2.2392443333626275,0.08480553484614671,5.264928719276156,5.9946825255305,5.416541154637634,2.2086712479571258,1.6146192653637341,0.0,0.5610363735644999,4.682557597195738,1.4697089468586078,1.8175990980955086,6.589278451584233,2.159751206440328,2.139844465481002,5.096730612694805,4.0417126904496135,2.2510607168367547,3.9588540552920306,5.583112768405241,2.830627972065588,3.422663414882572,4.923459717530273,6.947239460461614
004 L6 IT CTX Glut,2.7624736947613053,3.88159149614225,3.616198436674488,1.3143008467210076,2.0816382379447713,2.789962852170734,2.0297440644697895,4.210772446245558,2.7037016950388235,0.008550257490293155,0.2683934419960021,2.384968804274176,5.842532039210754,0.8300449674121803,1.3866448339074884,5.255794728581478,2.064095099961147,0.05196336903373796,5.184528451665378,5.564279325539483,5.648745278307437,1.3209624058490173,1.4490132395243718,0.0,0.5460653566035072,4.364832253208882,1.2801793816824873,1.4497323673104827,6.6269526734291295,1.9141237332542815,2.3209958474297405,5.256087878831076,3.6581280954089044,1.736599045651004,3.821199881823948,5.851251911961799,2.2973934644580694,2.8992666322901943,4.877636149526053,6.795254646320376
005 L5 IT CTX Glut,2.775581307945403,4.801089727343932,4.156352704056287,1.0759165603756962,2.6485755120213508,3.238104672166702,1.9338277690792518,4.310999490020083,2.4109627816049555,0.009098358527470048,0.29879623120087023,2.1137931944943755,4.749322931648131,0.7481684053314923,1.5681496868258937,5.412403617047067,2.104807375852416,0.043690311505059344,4.856003950143324,6.225918958022632,4.338656614324316,3.32356723313516,1.563845152352059,0.0,0.504832322295043,4.044972829495652,1.37761837176041,1.7236577533078126,6.845006778778993,2.191656883619905,2.3736312914242492,5.687313605035502,3.76923291034474,1.5974727856938251,4.532901848907029,6.343051194375261,2.5860567915035944,3.3556228105898493,5.168244990034388,7.169725670376354
006 L4/5 IT CTX Glut,2.390786599852168,6.174873994490962,3.5635248958811196,0.9780663455673733,2.117122412044315,3.2582917988424143,1.583423763533502,4.320021050833257,1.9314186015140158,0.006016481651119293,0.1166918089128014,1.8655674078936793,4.4859947791138515,0.6418537690480316,1.3369948006771175,4.89122568710476,1.6410976561456856,0.035120066379200995,4.360529187708934,5.324265744680761,4.367461704438045,1.8613603407412058,1.2430318823508286,0.0,0.46433249997039977,3.789424150013154,1.1953003757474667,1.4138674519030472,6.312627949336997,1.9489763575501846,2.1489175134550003,5.423835087035473,3.3058886238364664,1.6340829691853234,4.029914152971533,6.784692117265083,2.1410752825785675,2.539564743749226,4.623838114313765,6.604193887043761
007 L2/3 IT CTX Glut,2.645829211947518,4.232486282693812,3.4536036329888034,1.462763850800368,2.1300540271735176,3.12792929144492,1.9270580788310707,4.9001538829875235,1.9287877991349665,0.007185330039310085,0.18644478136488044,2.515195396826411,6.735744860985035,0.8733855767019774,1.4720206682450823,5.29464832673848,2.1377795214179898,0.05889766665515037,5.347417859652401,5.448294143163186,3.4473966207367654,2.185976915076573,1.5624732991653432,0.0,0.704690021838176,5.550802738978462,1.2940352457108344,1.6092123988253229,6.691255518153428,2.176656592046123,2.583372721910154,5.449205704537441,3.760899191670022,2.183234050139563,3.924436761675958,6.260423257259507,2.074633933457662,2.644047561721331,4.959489391201064,6.609500143993752
008 L2/3 IT ENT Glut,2.005054994544461,4.622471722370242,3.761852570753706,1.2083809643759382,2.1459703269932477,2.7455371742782497,1.8087866598695488,3.997963631646071,2.1826170745868763,0.04022180447387117,0.1391385061467232,2.427680463060425,6.3953465945140975,1.117095886122231,1.3829607903480214,4.831736195754318,1.7982235979047945,0.04437285218142383,4.923391976240635,5.180650609552954,5.04061839764734,3.3545041390345327,1.3540222351285995,0.0,0.543894355308721,5.684925089814843,1.439593518758892,1.875067780907899,6.129842899867854,2.712490905619239,2.51173151621887,5.04435286069717,4.336089674331346,2.197601330658074,4.501605698060721,6.037724547675059,2.6450264496351767,2.8628802891282636,4.809011571044004,7.01738228689946
009 L2/3 IT PIR-ENTl Glut,1.948717119047856,4.036660377666973,3.1417916424514485,1.0174646843853732,1.9218771187749553,2.402233924968848,1.8884556814895133,3.7957606574519707,2.1192054123221054,0.008063585353716006,0.24923536411284464,1.6930485937044,5.13270236769853,0.9667945068533126,1.3330983462044226,4.646572454678609,1.8351603167799422,0.11465559015502955,4.009489557058891,5.031781192770009,4.940925750555078,1.567866136299809,1.1463290983056167,0.0,0.44556838663553855,4.43794872908234,1.178979869981436,1.5368784952878543,7.0242547556703,2.250554444724066,2.0981048743281656,5.014625534542931,3.9896338061344188,1.8888705042819285,4.049012187193855,6.209148432916082,1.9354473817960787,2.7982737326510683,3.9339728673416343,6.645627580142543
010 IT AON-TT-DP Glut,1.870061276587422,4.353224559919578,3.5132722662507097,1.1461576837308234,1.832629496871841,2.120764640046553,1.7357676026413709,3.355880420419699,1.7903978175712012,0.004167418298611412,0.3109595904091983,1.9279451951703193,5.04717542624572,0.8844487947053299,1.2227248925117187,4.202282161091732,1.6523756652073183,0.035782277242470455,4.340510140926081,4.292422529009476,1.6918538168073618,1.8611855191224134,1.1382612792417244,0.0,0.44024870424605034,2.7511257515631242,1.1032721951788467,1.5409892048876601,6.464569610816799,1.9975333937568969,2.512660856813205,4.874081460687761,3.4353306725526638,2.5460045805566303,3.784943472459722,6.6962700986139305,1.6116023696768473,2.76038294745188,3.8452249381181796,6.376220923060152
