supertype,Zdhhc1,Zdhhc2,Zdhhc3,Zdhhc4,Zdhhc5,Zdhhc6,Zdhhc7,Zdhhc8,Zdhhc9,Zdhhc11,Zdhhc12,Zdhhc13,Zdhhc14,Zdhhc15,Zdhhc16,Zdhhc17,Zdhhc18,Zdhhc19,Zdhhc20,Zdhhc21,Zdhhc22,Zdhhc23,Zdhhc24,Zdhhc25,Abhd4,Abhd6,Abhd10,Abhd11,Abhd12,Abhd13,Abhd16a,Abhd17a,Abhd17b,Abhd17c,Golga7,Golga7b,Lypla1,Lypla2,Ppt1,Selenok
0001 CLA-EPd-CTX Car3 Glut_1,2.716983887030335,5.319002011808193,3.4357477567852337,1.2420149800813074,1.6861995062798831,2.9630930809686604,1.9715736435408466,4.348789322858278,2.450338257026712,0.006038079423057628,0.18233172402628575,2.2531503884845048,7.397392576486601,0.8595215123637678,1.3989862196535958,5.484682099783216,1.849351939973058,0.06548483378960918,5.476880464366935,5.560023869948831,3.1400712048325023,1.10276111915452,1.3601876334266376,0.0,0.45001581023611,4.161470782751057,1.1336235566236776,1.8680690852638413,6.536267624205529,2.0101569875373717,2.6616829921450833,5.1972705297926005,3.5627966306668926,1.6112965867975457,3.6414980957016536,6.687738675662881,2.409415929550851,3.059567389363731,4.654663603652515,7.407257118574588
0002 CLA-EPd-CTX Car3 Glut_2,2.0483048982692487,6.324474428187717,3.5101146083889585,1.3985991525379093,2.053168577452501,2.5415157594464044,2.4774553888674937,4.677026174285195,2.384416984337749,0.004558124777042504,0.16881695638100305,2.3727750606609113,7.529907828027552,0.753367086477352,1.3661226510550037,5.886509281216246,2.147397580471906,0.07140539631699071,5.449712441726164,4.988235946857568,3.534595297818834,1.3284645721767887,1.4138876181660276,0.0,0.2699379708730813,4.618176843180801,1.000695498603763,1.7917611454472397,6.821394110719363,2.230769718912515,2.565908296090184,5.738127202247128,3.79386356427814,1.2529063330906811,3.7675721351847504,6.6502809145233845,1.7913731487862992,3.5412001962011512,4.510373855179006,7.6858885631416785
0003 IT EP-CLA Glut_1,3.2740358858298126,4.54249051928173,3.711301939125245,1.7935726046622045,2.465993535400143,3.03880484704572,2.4544957153935285,3.8112703200049256,3.5258914747682484,0.017254099236373527,0.4766267837081428,2.6500297758112183,6.737172346144319,1.3658120184732807,1.5212711354960566,6.138347277860108,2.4483690377231677,0.080961887634642,5.7253805576097125,5.330901153547982,4.932504459262457,0.8542279924706219,1.798155727174845,0.0,0.5860723837610109,5.1764257361891515,1.6201492516507776,1.8412685252322838,6.735779226239228,2.197100990579147,2.3113204172809314,5.346671432289616,4.233987418567934,2.7737785090475104,3.707522206175266,5.052676084015501,2.4896711310489024,3.2203848423255423,4.7782433861673015,6.504875439251626
0004 IT EP-CLA Glut_2,2.878233873285082,5.432331211741242,3.487965562480412,1.8054443746067295,2.342831335712236,2.8482379619560607,2.5181977959301465,3.626958758220567,2.9035475937437463,0.02336048996556163,0.3307548408219393,2.4140373915998157,6.101964932921465,1.4948221835040019,1.40254571963565,5.597082613648599,2.4470567374058585,0.06584834816363473,5.380706861558753,5.167410841149281,3.770585916704177,1.0800794186968516,1.604352911811093,0.0,0.4853571560651611,5.0833911570730415,1.580847906573257,1.7090749457248473,6.51264684664901,2.175355920491606,2.082261963762905,5.152190871742909,4.620452842801297,2.7785585720407835,3.677056019347158,4.919460592761597,2.4725853565514972,3.0957765301427442,4.7415681888159185,6.565585627696135
0005 IT EP-CLA Glut_3,3.285962615096778,6.147832290271769,3.54258598420853,1.7968180866767292,2.5205296860601667,3.1854336435035955,2.911858159796636,4.350873487037525,3.384013497739806,0.007001163965478577,0.34453205028572176,2.229135809685652,6.830580001486871,1.8944512868584846,1.633252225722884,5.423914841840739,2.695409084621229,0.09092569649966438,4.966591482771967,5.650150521954797,6.6037397360741945,2.31745785997625,1.9112056392177303,0.0,0.5594483569152373,5.91648132460458,1.957334398028247,1.854505852051546,6.659237584374602,2.1812374030139514,2.2006509310022033,5.388565283072622,5.229670529975031,2.255604253078164,3.933036612687553,6.275906252681761,2.853422825199022,3.6680776872730494,5.197912314481902,6.336787560529876
0006 IT EP-CLA Glut_4,2.887275032968406,5.533318744366428,4.290559026491211,1.436384815767587,3.09090310047908,3.0496120819126267,2.839217770171453,4.639370580394584,3.549130996666759,0.008860564375498209,0.6156967853207186,2.155953319316887,6.464896291135306,1.2746378233633846,1.8097225714878864,6.01262036791767,3.2763644126524407,0.04185650829809258,5.038012688418469,6.142760286130101,4.011190014072211,2.657182560627719,1.9293404480060898,0.0,0.5794188121715224,4.374498300882707,1.6681055645626712,2.046967924000269,7.2991788128772415,2.787291505250586,2.9241395711180673,6.122575857553137,4.557621220508254,2.1108458078051187,4.535794519157295,6.686369499528264,3.0611942927521394,4.253971454967935,5.087880702621965,7.303075208721391
0007 L5/6 IT TPE-ENT Glut_1,2.5420377898674746,4.909243597090244,3.938033963854496,1.424064776645257,2.3077841136317985,3.0637730172047246,2.3221135832942448,4.111931895980468,2.7649482684639786,0.01758115360370049,0.31381274175185425,2.174471469223499,5.939991686894343,1.428175535110327,1.680653069798763,5.27438859641552,2.0957328556821895,0.07501758566269508,5.023957698276409,6.492057560040401,5.4091859050668205,3.115862422837661,1.7049196278819672,0.0,0.5351286139625769,4.56290234613877,1.4873048858000681,2.050426799975909,6.708532184820909,2.5759510254630675,2.3103536799550057,5.542642915363495,4.0877836927771565,2.3296038954303815,4.599410958702748,5.851362527104524,3.1864360304979176,3.94937973182935,4.8340376751927225,7.159861231996463
0008 L5/6 IT TPE-ENT Glut_2,2.6957476313421456,5.15582329240603,3.9296073961124995,1.6278765934259627,2.5737990418294454,3.1503395889031895,2.568087658298238,4.436100329653327,3.1786907111885156,0.016990361488762776,0.45732659964302746,2.6281232205987513,5.905396410356947,1.273189624082421,1.570420514200216,5.075489255151292,2.545703316512037,0.0992249017515434,5.353081654203621,6.215147560920527,5.454500284211308,2.463822189176029,1.7658871574614556,0.0,0.5544784481168024,4.806291725511283,1.5792178556997327,1.826237049016885,6.8448940315344755,2.340890902448258,2.3366877170123437,5.41988436965607,4.29789854752616,2.242561626608168,4.101708150334351,5.774137239151443,2.9640600154667283,3.854497977702014,5.191962603716898,7.198093945545979
0009 L5/6 IT TPE-ENT Glut_3,3.036964136842692,3.957182821448633,3.0175026231268864,1.6112549751894298,1.6316427978296102,2.803889934150701,2.29743791431661,3.713179345955773,2.81188473193749,0.004239040929477515,0.32433557945806185,2.61641939034715,5.516536510130359,1.321862994433271,1.3615753530716583,4.856443447051255,2.1118921814582663,0.07561352547080988,5.3555744556950176,5.563826764558283,6.338185116802718,0.7552550333602769,1.4519028499321966,0.0,0.6199931142085343,4.629784178848845,1.3291748992169339,1.5350413827712088,6.430906708038403,1.6681892856246927,1.8637731809767257,4.514519561331162,3.678051715058183,2.0238623454766302,3.441937672853634,5.347303984331148,2.278311813970338,2.687774297453304,4.790642366912101,6.588838261296058
0010 L5/6 IT TPE-ENT Glut_4,2.745657339367635,4.430260165585678,3.3852712417168034,1.5311564098583927,1.8554306838314072,2.8509129870876397,2.2457266442273864,3.4971722040277564,2.9477835829067605,0.030819976083530785,0.33106535936054204,2.203114464854076,5.971881896540281,1.1595059708468012,1.373166876888222,5.225919142307215,1.8476242007389208,0.07851608328017891,5.248837283175462,5.79075988000628,4.153852807683428,2.780415409973119,1.4502088515070282,0.0,0.5167139558935884,4.628315050198604,1.4122867652119904,2.025469514260007,6.191437388185281,2.142714148723234,1.940493720393817,4.8432707926336445,4.043650043137176,2.5594980948334762,3.861855732402876,5.359242718689672,2.9879508778610955,3.0798983186533304,4.661840479843847,6.792231998518151
0011 L5/6 IT TPE-ENT Glut_5,3.0221395291222466,5.257182608710395,3.7140809716118706,1.449914788140191,1.7704096391465929,3.163767653571235,2.2296136220296225,4.1479636743333606,3.2199649365743,0.037431108686659074,0.4895077027214898,2.3226196500990124,6.539198440975613,1.7151845698886448,1.5570330789354112,5.253293567233616,2.8493695524003773,0.11782115088568794,5.538628213670519,6.280026859707302,4.920286326938205,4.174086007012261,1.6432723490397136,0.0,0.5710416571299235,5.328315171135796,1.7211757882436116,1.8871783627404106,6.444016664293077,2.0934965864817303,2.346374725765652,5.087481474346585,4.247838534249199,2.3895751889546712,3.592690733803643,5.356104646258884,2.921581835216946,3.4383543088701036,5.201196325090196,6.907891835106744
0012 L5/6 IT TPE-ENT Glut_6,2.39530006962119,2.5446739752675587,2.0988772446627446,1.1961897346022214,1.1230926192486224,2.400965864794242,1.357064210071465,1.9731529302547632,2.0661003676103187,0.0,0.20711505227756005,1.5800185203552246,3.4538446263328115,0.900260324922868,0.8754866901457001,4.509610104437319,1.2194260080861303,0.0,4.199364143332051,3.3459668233604627,3.0166286433916634,0.5240870880957095,0.9256462606123692,0.0,0.5118423125904459,3.526661687564356,0.987083554885548,1.3381734759078743,5.370774990536388,0.9244316624853895,1.3066190536775737,3.6005674347358663,2.5654106214256482,2.0024286947102126,2.7034917816596944,3.9646597773299934,2.511027803075128,1.5252310278502152,3.5010460349562256,5.468297031876954
0013 L6 IT CTX Glut_1,2.9774457584404517,3.2315813214127638,3.3353097445497712,1.4436075678074034,1.753194760055203,2.8307039344142364,1.9958319230455803,3.5658737291300033,3.093943590790145,0.01438657281689023,0.2807252834060319,2.5004894496032115,5.862150545126799,0.9879212754093512,1.3034188928922505,5.252050025091872,1.9843517689785373,0.06246635076400622,5.356842087384955,5.0823369178814355,6.316638953811522,0.7222895848676014,1.3906184385128233,0.0,0.5738216137723325,4.438748146325758,1.3142877267243451,1.4683418353646718,6.404510305833642,1.7034043169836475,2.128683405271643,4.808532919280019,3.651794614857968,2.027266607039328,3.4796099316272198,5.148563989337352,2.327317698078429,2.416650340605158,4.605759933659478,6.4347476354383755
0014 L6 IT CTX Glut_2,2.790516440805604,3.9752335106634917,3.745748259799128,1.2889273080446324,2.230171933513005,2.742839120356101,2.0252969173147304,4.377091105110663,2.671035637154204,0.006319668338550725,0.2786224182402274,2.385730279854848,5.755881043490723,0.7676750464653597,1.3854488168853545,5.492894971624386,2.245552559455133,0.046152711964105655,5.236549872680179,5.764927486937017,5.396203154974875,1.3084708597221235,1.5379293674676917,0.0,0.5831685996774347,4.220549861886079,1.3056118769889251,1.3953639752253881,6.830536727190541,1.9649535638195106,2.4933195750486177,5.360819517559449,3.7228974959693204,1.689167701279905,3.862057359970759,6.101548710027714,2.391604444170334,3.006589838827742,4.880863296114473,6.8958760603068825
0015 L6 IT CTX Glut_3,2.749541147061513,5.04078422867956,3.644970994836581,1.292540652930661,2.1725359904377832,2.9703593741513683,2.091119231902213,4.743728253623439,2.6376831737209114,0.005132422641408983,0.3011783902672057,2.429363266900177,6.032585689122722,1.0168434586611383,1.4954285511147463,5.000250652371653,1.7931314535956713,0.05719030935820278,5.112059079053322,6.0645141952501636,6.233999469212797,2.042285342938141,1.5197515040745682,0.0,0.5264949176109476,4.965893340797988,1.3736408036631946,1.6030814987452526,6.380914281301576,2.1303777143978033,2.3104869615893726,5.39707748180232,3.687419461062351,1.8939388251293465,4.1467369434897785,6.122346520942086,2.342757951947811,3.187224938798842,4.872591040281598,6.872257342619505
0016 L6 IT CTX Glut_4,2.3542205060374672,3.219500530154969,3.300587487296363,1.1726850028603608,1.7787083938158057,2.560404984501398,1.8896181850179132,3.9109858467621557,2.411421277889888,0.008632399672342536,0.15996238608346708,2.151397060693198,5.76633335050381,0.6593728334187321,1.2557713317737835,4.53305081299428,1.6690083295915732,0.054589248788845614,4.755648115432493,5.0026558607315375,5.321391557105706,1.1981707144995715,1.1292028931458697,0.0,0.37338040976596876,4.04968495611643,1.0311241835033822,1.277495084293501,6.289263054679657,1.5816526778401492,1.9152453863275438,5.2193155256150305,3.352477696732895,1.2534749116711532,3.6288842667358083,5.526864004806553,1.774883263716034,2.6185876056035395,5.0377824816845,6.79599338572907
0017 L6 IT CTX Glut_5,3.0680629114837332,4.232346159026025,4.1909207870162835,1.5412627806028183,2.5021268098631873,3.191381883979322,2.3595715640323793,4.430056376483764,2.7867599540341477,0.014760363368995446,0.37143777813084705,2.574231703695386,6.156861155326079,0.8867201374152249,1.7025654030389525,6.005033043525881,2.5908446915174697,0.04647488883009973,5.6081927131683456,5.862340311335418,5.263147912123622,1.7641915477929022,1.664459048227589,0.0,0.6979701386266123,4.689826642079288,1.4553262852455504,1.8652923032130106,7.176782875130186,2.4914335897051267,2.7022819727423832,5.5062204581320815,3.9446494178915215,2.183855738708366,4.232453094682715,6.248377362295366,2.8007739323741117,3.5219433240039693,5.146582601170119,6.8917968046259235
0018 L5 IT CTX Glut_1,2.892095554711225,5.246554553635464,4.256567864574,1.1311132210415837,2.6999635137272726,3.1163462108523645,2.0684954184102056,4.67430489105607,2.3350258130379142,0.008373581986282455,0.20617248702505395,2.0332722137112156,4.379940696322754,0.737765070522779,1.623173105710983,5.468912133086262,2.2281614519036994,0.04020373270131184,4.8988652918586135,6.557127964772095,4.942093294212735,2.5298176314992147,1.5442804594895954,0.0,0.5466111455607511,4.177846471329641,1.457028630436558,1.6577893246481517,6.935942892886676,2.206792928191081,2.426882810866662,5.762131628165853,3.8272650857394526,1.4539939334410041,4.6527205508554585,7.298911211496026,2.5862096028425055,3.5867311174810843,5.45171302394727,7.079638499810782
0019 L5 IT CTX Glut_2,2.619844870554716,4.601282261243608,4.019205198251293,0.9990053442858985,2.498220491546818,3.478021380787313,1.7347059178713335,4.144088789282782,2.3531639643570346,0.010556552445077748,0.2599295128884438,2.1438150099108237,4.9397083248550056,0.6324817048045083,1.5587271692889781,5.140361394655301,1.814710577747278,0.046345542789909364,4.648332397653002,5.929922802291848,4.628698540490225,3.8991352307398253,1.5522355044698863,0.0,0.4728685554705168,4.099326170410453,1.2978121219017105,1.8092274107287865,6.711870525124496,2.195813444055522,2.3795141744372996,5.584590684402106,3.7082830775503184,1.6909248784768183,4.498780026844963,6.096305037793905,2.5293282495900664,3.0361097199789064,4.988834017247313,7.015445351606377
0020 L5 IT CTX Glut_3,2.784813812691045,4.972486274378792,4.302295094943452,1.0995614029083258,2.874607759988999,3.220975749407556,2.017813742016722,4.415509996801096,2.426541708528083,0.008770012585459923,0.3913336360876614,2.098914872199372,4.805965690874049,0.789046520339103,1.5395771527698274,5.697242212892172,2.3581583034913685,0.04368809343113188,4.993348017411919,6.356200814659581,4.137098563848002,3.3950700130591014,1.5900734193890382,0.0,0.5188308494159625,3.9226052054715237,1.400471031386127,1.6479456332392182,6.933667572116766,2.264470021585372,2.4081788242380227,5.802725917361089,3.813048446837791,1.6020985588574728,4.5588912643964346,6.156377579794206,2.7170768058369514,3.4724604964024635,5.16511843702715,7.386753135272364
