"","subclass_original","subclass","Zdhhc1","Zdhhc2","Zdhhc3","Zdhhc4","Zdhhc5","Zdhhc6","Zdhhc7","Zdhhc8","Zdhhc9","Zdhhc11","Zdhhc12","Zdhhc13","Zdhhc14","Zdhhc15","Zdhhc16","Zdhhc17","Zdhhc18","Zdhhc19","Zdhhc20","Zdhhc21","Zdhhc22","Zdhhc23","Zdhhc24","Zdhhc25","Abhd4","Abhd6","Abhd10","Abhd11","Abhd12","Abhd13","Abhd16a","Abhd17a","Abhd17b","Abhd17c","Golga7","Golga7b","Lypla1","Lypla2","Ppt1","Selenok","descriptor","neuron_type"
"1","001 CLA-EPd-CTX Car3 Glut","CLA-EPd-CTX Car3 Glut",2.69351678792327,5.3542887805585,3.43835764031111,1.24751025712066,1.69907818155932,2.94829794466,1.98932741964802,4.36030870189141,2.44802476869306,0.00598614083528122,0.181857427095963,2.25734858236348,7.40204316158555,0.855796052950805,1.39783288205173,5.4987841105374,1.85981176703742,0.0656926142491942,5.47592701033208,5.53995713526009,3.1539169157728,1.11068211770525,1.36207221913235,0,0.443696029632343,4.17749875216993,1.12895848419865,1.86539107979869,6.54627405723174,2.01789932865841,2.65832180640118,5.21625174102929,3.57090585904487,1.59871898267942,3.64592262829368,6.68642410617922,2.38772589377527,3.0764701558649,4.64959979592942,7.41703560994923,"Claustrum-Endopiriform nucleus, dorsal part-Cerebral cortex; carbonic anhydrase 3; glutamatergic neuron","glutamatergic"
"2","002 IT EP-CLA Glut","IT EP-CLA Glut",3.20930852576005,4.74374775427628,3.69047727435137,1.78576109412503,2.46743003916472,3.01744385349444,2.48831346888921,3.8252839543331,3.43584617082736,0.0175445957454416,0.455917982026416,2.59062132028072,6.64500618158716,1.39822270509597,1.51616527610182,6.03711964136378,2.47828971476296,0.0781448307124984,5.63489610408106,5.3402741925823,4.80084067828824,0.980781299759561,1.77848843258324,0,0.571103644727512,5.16589483836972,1.62683910055787,1.82890916639356,6.71752281372105,2.20937586799237,2.29246900863103,5.3418747558274,4.32813902332288,2.74003489023348,3.732724434557,5.1173027442751,2.51429974377018,3.24520167484636,4.7949519272713,6.52922914886505,"intratelencephalic-projecting glutamatergic cortical neuron; Endopiriform nucleus-Claustrum; glutamatergic neuron","glutamatergic"
"3","003 L5/6 IT TPE-ENT Glut","L5/6 IT TPE-ENT Glut",2.76115457527308,4.66890158284388,3.5916513300111,1.5630252914403,2.1490651836318,2.99314908567399,2.38382206078583,4.01480904356794,2.96407512699711,0.0161732013257334,0.377047138972771,2.45857932399855,5.79842983477631,1.29744193560763,1.49726372262328,5.07365450879987,2.23924433336263,0.0848055348461467,5.26492871927616,5.9946825255305,5.41654115463763,2.20867124795713,1.61461926536373,0,0.5610363735645,4.68255759719574,1.46970894685861,1.81759909809551,6.58927845158423,2.15975120644033,2.139844465481,5.0967306126948,4.04171269044961,2.25106071683675,3.95885405529203,5.58311276840524,2.83062797206559,3.42266341488257,4.92345971753027,6.94723946046161,"intratelencephalic-projecting glutamatergic cortical neuron; glutamatergic neuron","glutamatergic"
"4","004 L6 IT CTX Glut","L6 IT CTX Glut",2.76247369476131,3.88159149614225,3.61619843667449,1.31430084672101,2.08163823794477,2.78996285217073,2.02974406446979,4.21077244624556,2.70370169503882,0.00855025749029315,0.268393441996002,2.38496880427418,5.84253203921075,0.83004496741218,1.38664483390749,5.25579472858148,2.06409509996115,0.051963369033738,5.18452845166538,5.56427932553948,5.64874527830744,1.32096240584902,1.44901323952437,0,0.546065356603507,4.36483225320888,1.28017938168249,1.44973236731048,6.62695267342913,1.91412373325428,2.32099584742974,5.25608787883108,3.6581280954089,1.736599045651,3.82119988182395,5.8512519119618,2.29739346445807,2.89926663229019,4.87763614952605,6.79525464632038,"cortical layer 6; intratelencephalic-projecting glutamatergic cortical neuron; Cerebral cortex; glutamatergic neuron","glutamatergic"
"5","005 L5 IT CTX Glut","L5 IT CTX Glut",2.7755813079454,4.80108972734393,4.15635270405629,1.0759165603757,2.64857551202135,3.2381046721667,1.93382776907925,4.31099949002008,2.41096278160496,0.00909835852747004,0.29879623120087,2.11379319449438,4.74932293164813,0.748168405331492,1.56814968682589,5.41240361704707,2.10480737585242,0.0436903115050593,4.85600395014332,6.22591895802263,4.33865661432432,3.32356723313516,1.56384515235206,0,0.504832322295043,4.04497282949565,1.37761837176041,1.72365775330781,6.84500677877899,2.1916568836199,2.37363129142425,5.6873136050355,3.76923291034474,1.59747278569383,4.53290184890703,6.34305119437526,2.58605679150359,3.35562281058985,5.16824499003439,7.16972567037635,"cortical layer 5; intratelencephalic-projecting glutamatergic cortical neuron; Cerebral cortex; glutamatergic neuron","glutamatergic"
"6","006 L4/5 IT CTX Glut","L4/5 IT CTX Glut",2.39078659985217,6.17487399449096,3.56352489588112,0.978066345567373,2.11712241204431,3.25829179884241,1.5834237635335,4.32002105083326,1.93141860151402,0.00601648165111929,0.116691808912801,1.86556740789368,4.48599477911385,0.641853769048032,1.33699480067712,4.89122568710476,1.64109765614569,0.035120066379201,4.36052918770893,5.32426574468076,4.36746170443805,1.86136034074121,1.24303188235083,0,0.4643324999704,3.78942415001315,1.19530037574747,1.41386745190305,6.312627949337,1.94897635755018,2.148917513455,5.42383508703547,3.30588862383647,1.63408296918532,4.02991415297153,6.78469211726508,2.14107528257857,2.53956474374923,4.62383811431376,6.60419388704376,"intratelencephalic-projecting glutamatergic cortical neuron; Cerebral cortex; glutamatergic neuron","glutamatergic"
"7","007 L2/3 IT CTX Glut","L2/3 IT CTX Glut",2.64582921194752,4.23248628269381,3.4536036329888,1.46276385080037,2.13005402717352,3.12792929144492,1.92705807883107,4.90015388298752,1.92878779913497,0.00718533003931008,0.18644478136488,2.51519539682641,6.73574486098503,0.873385576701977,1.47202066824508,5.29464832673848,2.13777952141799,0.0588976666551504,5.3474178596524,5.44829414316319,3.44739662073677,2.18597691507657,1.56247329916534,0,0.704690021838176,5.55080273897846,1.29403524571083,1.60921239882532,6.69125551815343,2.17665659204612,2.58337272191015,5.44920570453744,3.76089919167002,2.18323405013956,3.92443676167596,6.26042325725951,2.07463393345766,2.64404756172133,4.95948939120106,6.60950014399375,"intratelencephalic-projecting glutamatergic cortical neuron; Cerebral cortex; glutamatergic neuron","glutamatergic"
"8","008 L2/3 IT ENT Glut","L2/3 IT ENT Glut",2.00505499454446,4.62247172237024,3.76185257075371,1.20838096437594,2.14597032699325,2.74553717427825,1.80878665986955,3.99796363164607,2.18261707458688,0.0402218044738712,0.139138506146723,2.42768046306043,6.3953465945141,1.11709588612223,1.38296079034802,4.83173619575432,1.79822359790479,0.0443728521814238,4.92339197624063,5.18065060955295,5.04061839764734,3.35450413903453,1.3540222351286,0,0.543894355308721,5.68492508981484,1.43959351875889,1.8750677809079,6.12984289986785,2.71249090561924,2.51173151621887,5.04435286069717,4.33608967433135,2.19760133065807,4.50160569806072,6.03772454767506,2.64502644963518,2.86288028912826,4.809011571044,7.01738228689946,"intratelencephalic-projecting glutamatergic cortical neuron; Entorhinal area; glutamatergic neuron","glutamatergic"
"9","009 L2/3 IT PIR-ENTl Glut","L2/3 IT PIR-ENTl Glut",1.94871711904786,4.03666037766697,3.14179164245145,1.01746468438537,1.92187711877496,2.40223392496885,1.88845568148951,3.79576065745197,2.11920541232211,0.008063585353716,0.249235364112845,1.6930485937044,5.13270236769853,0.966794506853313,1.33309834620442,4.64657245467861,1.83516031677994,0.11465559015503,4.00948955705889,5.03178119277001,4.94092575055508,1.56786613629981,1.14632909830562,0,0.445568386635539,4.43794872908234,1.17897986998144,1.53687849528785,7.0242547556703,2.25055444472407,2.09810487432817,5.01462553454293,3.98963380613442,1.88887050428193,4.04901218719386,6.20914843291608,1.93544738179608,2.79827373265107,3.93397286734163,6.64562758014254,"intratelencephalic-projecting glutamatergic cortical neuron; Piriform area-Entorhinal area, lateral part; glutamatergic neuron","glutamatergic"
"10","010 IT AON-TT-DP Glut","IT AON-TT-DP Glut",1.87006127658742,4.35322455991958,3.51327226625071,1.14615768373082,1.83262949687184,2.12076464004655,1.73576760264137,3.3558804204197,1.7903978175712,0.00416741829861141,0.310959590409198,1.92794519517032,5.04717542624572,0.88444879470533,1.22272489251172,4.20228216109173,1.65237566520732,0.0357822772424704,4.34051014092608,4.29242252900948,1.69185381680736,1.86118551912241,1.13826127924172,0,0.44024870424605,2.75112575156312,1.10327219517885,1.54098920488766,6.4645696108168,1.9975333937569,2.51266085681321,4.87408146068776,3.43533067255266,2.54600458055663,3.78494347245972,6.69627009861393,1.61160236967685,2.76038294745188,3.84522493811818,6.37622092306015,"intratelencephalic-projecting glutamatergic cortical neuron; Anterior olfactory nucleus-Taenia tecta-Dorsal peduncular area; glutamatergic neuron","glutamatergic"
"11","011 L2 IT ENT-po Glut","L2 IT ENT-po Glut",2.08455157048244,5.03821822273551,4.01060292839232,1.17132086050948,2.36953576704081,2.7121451176526,2.14986570279233,3.641737966056,2.34665428581557,0.0468575973103937,0.17080122116575,2.35342233523437,4.42653472145484,1.31787688460515,1.64742042423582,5.60622833942749,2.386796382282,0.0400713333300844,4.65910820228492,5.23527265000549,4.56611310495929,3.92102961071624,1.58786373609601,0,0.5696891793422,4.51745532025014,1.61775073846782,1.66919804456167,6.7019159755233,3.01242212490953,2.47134516589327,5.05021189040551,4.55165854649976,2.76069019789572,4.462513168095,5.49429127284312,3.34658168523409,3.39803886271965,4.83424332268037,6.68921780547622,"cortical layer 2; intratelencephalic-projecting glutamatergic cortical neuron; Entorhinal area, posterior part; glutamatergic neuron","glutamatergic"
"12","012 MEA Slc17a7 Glut","MEA Slc17a7 Glut",2.95830169251785,5.01234777060893,3.23228017426291,1.53960270973534,2.05012577765073,2.71025156322204,1.86703267005592,4.05824699460753,1.85197944864925,0.00605676508703721,0.255849681753415,2.52028674250064,6.31758517446254,1.81552241781484,1.34846139050755,5.211467592589,2.34678260698149,0.19924697642741,5.21341110611622,5.41461087401677,3.71444199337318,2.46067860783796,1.64027230308461,0,0.599568278516234,5.24518648894879,1.47014312996224,1.71273378767515,6.04680730599189,2.01856559401915,2.14094172984715,4.40780663252348,4.33438427389375,2.5174722830533,3.21014014117331,4.45674610997848,2.23379014092001,2.76385349499378,4.54532214113375,5.5471551667089,"Medial amygdalar nucleus; solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 7; glutamatergic neuron","glutamatergic"
"13","013 COAp Grxcr2 Glut","COAp Grxcr2 Glut",2.22623508472257,5.21573790123728,1.83520178607041,1.44376070284895,1.09602920003288,2.33947470078314,1.58985597717153,3.72644709019816,1.86425689214521,0.00132744443689836,0.144375795409372,1.89035766869817,5.24013768373598,1.03325214096651,1.12304730309585,3.88053019751905,1.52925782332425,0.214189465609567,4.48069743280303,4.40556915721946,4.39462744249681,1.44395974898991,1.09242811976568,0,0.392568909443678,4.41869030677196,0.871336274645412,1.55477090052032,5.94459757126808,1.42654005309151,1.68950710384351,4.44482832400278,3.39148267972063,1.91008304637048,2.96793797739305,4.9659882367484,1.41009898035757,2.38706484121081,4.05763063334577,5.62469759246343,"Cortical amygdalar area, posterior part; glutaredoxin, cysteine rich 2; glutamatergic neuron","glutamatergic"
"14","014 LA-BLA-BMA-PA Glut","LA-BLA-BMA-PA Glut",3.18865011001989,4.0197021994266,3.44667495920043,1.94348672811421,2.26371591381541,3.08820081597455,2.46488652729773,3.79241344322948,2.4026956274709,0.0086218136183832,0.272060643774083,2.62695673677669,6.46660412469957,1.75949971725337,1.58861652184091,5.61206986671952,2.54766402351644,0.0734812025620002,5.89040101345557,5.74447160556254,1.95800679509221,2.7674449145052,1.69942315275971,0,0.653121704062457,4.86163225037778,1.49101157815741,2.22445016173814,6.3938902018214,2.26658214275098,2.29978016106594,4.91004699369975,4.45649683369,3.04952414733537,3.81727992838291,5.01804184438777,2.61517598053465,3.39246269369928,5.00702191501354,5.70779306349127,"Lateral amygdalar nucleus-Lateral amygdalar nucleus-Basomedial amygdalar nucleus-Posterior amygdalar nucleus; glutamatergic neuron","glutamatergic"
