cluster,Zdhhc1,Zdhhc2,Zdhhc3,Zdhhc4,Zdhhc5,Zdhhc6,Zdhhc7,Zdhhc8,Zdhhc9,Zdhhc11,Zdhhc12,Zdhhc13,Zdhhc14,Zdhhc15,Zdhhc16,Zdhhc17,Zdhhc18,Zdhhc19,Zdhhc20,Zdhhc21,Zdhhc22,Zdhhc23,Zdhhc24,Zdhhc25,Abhd4,Abhd6,Abhd10,Abhd11,Abhd12,Abhd13,Abhd16a,Abhd17a,Abhd17b,Abhd17c,Golga7,Golga7b,Lypla1,Lypla2,Ppt1,Selenok,subclass_id_label,class_id_label,cluster.markers.combo,descriptor,neuron_type
0518 OB Meis2 Thsd7b Gaba_1,1.8745919320641495,1.2354157203581275,1.6605362213724029,0.4679354652156675,1.470874602232522,1.6287527472023071,0.7007085637348455,1.5083001784192838,1.4189545584887993,0.03191878931309149,0.08147391071164511,1.6308783767669182,2.5453997162299427,0.6983655797756785,0.5090802355510432,5.058037974970127,1.224494461121598,0.03520043690999349,4.5938079841737824,3.9913888908014066,1.3144079107579176,0.02201592825292572,0.40645018438013586,0,0.5130690617289969,2.390407632036907,1.1080701312398522,0.5236810978835191,3.1549610355036046,0.8855878938504351,1.3413427942167453,2.2642913465577412,3.246062069404416,1.6625096797943115,2.58275039990743,1.669528366104374,1.3037049072544749,0.9836929193357142,3.1767089870887073,5.563159735222173,039 OB Meis2 Thsd7b Gaba,05 OB-IMN GABA,"4930523C07Rik,Gm38505,Reln","olfactory bulb; Meis homeobox 2; thrombospondin, type I, domain containing 7B; GABAergic neuron",GABAergic
0519 OB Meis2 Thsd7b Gaba_1,2.2528005635134085,1.069644609354608,1.7133943584108131,0.5499340905571863,2.2387027454815702,1.3934421802995391,0.8524593054424233,1.9971593228353333,1.3077704236254717,0,0.2174424290107692,1.3935378070251183,1.8043109964115829,0.4929430979188137,0.7523049187550347,5.2802332601239605,1.744485422213506,0.03155049310851207,4.567022286252492,4.557601893552437,1.3592996882952852,0.06001947112896475,0.4609469158858198,0,0.3996375409139466,3.278254994598951,1.377173298514933,0.7378480181716005,4.438982728439542,0.9501666759016328,1.2821657602688137,3.112592675169492,3.942389152017057,1.1686404905011576,2.687961962915236,3.5807981710829493,2.2932553423165176,1.305197491623839,3.5140680563614666,4.97469270723756,039 OB Meis2 Thsd7b Gaba,05 OB-IMN GABA,"Tnnt1,Colq,Ccdc141","olfactory bulb; Meis homeobox 2; thrombospondin, type I, domain containing 7B; GABAergic neuron",GABAergic
0520 OB Meis2 Thsd7b Gaba_1,1.88788346390226,0.6508033062095073,1.1793836835604996,0.4514658878098673,1.7812716960906982,1.5828822904558324,0.47158894254200495,1.5672348897848556,0.7118624858002165,0,0,1.1251798387783676,1.8298472610872183,0.19272940906126107,0.8013727842871823,4.746784918343843,1.6490610926898557,0,3.6454076090855385,4.232985500079482,1.1626627872239297,0.10482541126991386,0.377033482736616,0,0.6176896202030466,2.430691505546001,1.0162151607114878,1.3579573951550383,2.782844148465057,0.6528744163797863,1.2618512395602557,2.826394394262513,3.6235624178132015,1.2144368477721712,2.916128674549843,1.6518437755641653,1.4791970537669623,0.6530035502875029,2.787870154451968,3.7344189046034177,039 OB Meis2 Thsd7b Gaba,05 OB-IMN GABA,"Mdfic,Colq,Cbln2,Chst9","olfactory bulb; Meis homeobox 2; thrombospondin, type I, domain containing 7B; GABAergic neuron",GABAergic
0521 OB Meis2 Thsd7b Gaba_2,3.660514806446276,4.578638076782227,4.8825630388761825,1.104576876288966,3.4280399523283305,3.682789664519461,2.2097092302222,4.983141773625424,3.4622285742508736,0,0,1.221560001373291,1.6736597512897693,0.20816455389323987,1.6466075244702791,6.8054350802772925,1.6760142100484747,0.29700919201499537,4.682114601135254,6.4604645779258325,2.7453402218065763,0.20816455389323987,0.990001452596564,0,1.2248013772462545,4.17196482106259,1.5841097831726074,1.7732975106490283,5.504461213162071,2.42086346525895,4.0187059829109595,5.404913099188554,5.219721041227642,3.246769854896947,3.890307715064601,4.843422299937198,4.520673651444285,3.904637437117727,5.68303306479203,6.780450243698923,039 OB Meis2 Thsd7b Gaba,05 OB-IMN GABA,"Chrna2,Sp8","olfactory bulb; Meis homeobox 2; thrombospondin, type I, domain containing 7B; GABAergic neuron",GABAergic
0522 OB Meis2 Thsd7b Gaba_2,2.1150722567667097,0.7729555088401641,1.7989133828438368,0.7279693312292931,1.882704693199004,1.3601330974758072,0.7502481729392237,1.9770967640332728,1.6468056416351524,0,0.03602654821920715,1.8781671156019173,1.0535557382058778,0.2187103969138741,0.6713105464141641,4.019717048478607,1.018359515490948,0,3.914654414925799,4.111916702065692,0.2639727736479484,0.1317763328552246,0.5819872497712206,0,0.61605811599117,2.371153013818216,1.3435452688460383,0.31514361880769665,2.9222728950065253,0.9308318755770688,1.2727405032855552,2.583555352767842,3.4575351196647492,1.253468516689019,2.8280788188012655,3.285843405947589,2.135303164488517,1.6404117577828017,3.5735522500620593,4.832248103698628,039 OB Meis2 Thsd7b Gaba,05 OB-IMN GABA,"Otop1,Prokr2","olfactory bulb; Meis homeobox 2; thrombospondin, type I, domain containing 7B; GABAergic neuron",GABAergic
0523 OB Meis2 Thsd7b Gaba_2,2.106192187259072,2.036089483060335,2.878111713810971,0.8497527022110788,2.3603576108029016,1.9976123508654144,1.443732562818025,2.412455784647088,1.11089751594945,0,0.18455181623760025,1.2857781711377596,1.1038586967869808,0,1.0388615758795487,3.934553209104036,0.3048457346464458,0.3014183420883982,3.4190474434902796,4.065504450547068,0,0.36389463826229695,1.7656373475727285,0,0.3338091498927066,2.012743297376131,1.105577732387342,0.617065944169697,4.269069897501092,1.4855857271897166,0.9714680596401816,2.914058333949039,4.458701171373066,1.291465018924914,3.360208034515381,3.431709578162746,2.4681052910654167,1.9270693126477696,3.7622088758569014,4.312359358135023,039 OB Meis2 Thsd7b Gaba,05 OB-IMN GABA,"Otop1,Capn3","olfactory bulb; Meis homeobox 2; thrombospondin, type I, domain containing 7B; GABAergic neuron",GABAergic
0524 OB Meis2 Thsd7b Gaba_2,2.063313426485487,3.589177866650235,2.036436876673607,0.7204694261976109,2.4155748756068527,1.5243273692525876,1.0981942893593175,1.9558274396665536,1.555800377183659,0,0.3708779341096331,2.14381733062161,2.427236274549156,0.48448435667973416,0.7468997536191515,4.300924124991059,1.031511683372935,0,3.812243637765289,4.449964149742369,0.24163432637597343,0.1409854919287809,0.5264177869079979,0,0.2583796932439136,2.9967145464222904,1.134270425055437,0.5643021255541759,3.2787689494479233,0.5013614612020505,1.8548990966408117,2.9860509854213446,3.518139717685189,0.9933405043972524,2.6295943229821077,3.152015491655678,2.4322785784484475,2.2945386497837723,3.751422165305751,5.286024117925365,039 OB Meis2 Thsd7b Gaba,05 OB-IMN GABA,"Epcam,Scgn","olfactory bulb; Meis homeobox 2; thrombospondin, type I, domain containing 7B; GABAergic neuron",GABAergic
0525 OB Meis2 Thsd7b Gaba_3,2.298684332654884,0.7670668913292761,1.86225324097075,0.6296053871589621,1.3675354601805692,1.2494185353807834,0.6281533142445619,1.7219890584599786,1.6276125611418888,0,0.16996411585437202,2.6304992987084264,1.7785535995206685,0.7210242093535902,0.5991000338539558,4.019097464072272,1.764583595058461,0.03987239432458433,3.4698813591596376,3.58384138561901,1.5622908537869626,0.09291394633950346,0.510451052472999,0,0.22945140927566765,2.501211245442919,0.9061097283437464,0.9495284050857464,3.3114383529504963,0.9526140578670204,1.1988714791332502,2.3166950576663634,2.7851222932647546,1.525997315046083,2.7427445718043826,1.045522655230112,1.305456435742156,1.3846492569681277,3.6865599217192497,6.24017533860676,039 OB Meis2 Thsd7b Gaba,05 OB-IMN GABA,"4930523C07Rik,Gm38505,Hmcn1","olfactory bulb; Meis homeobox 2; thrombospondin, type I, domain containing 7B; GABAergic neuron",GABAergic
0526 OB Meis2 Thsd7b Gaba_4,2.699235404135555,2.6182357456128504,1.7856895206248866,0.6305248041068559,1.6578833670039443,1.322133296358902,0.7057589739121518,2.180848339665956,0.8765292962392172,0,0.03080698170844784,1.1323471906262512,2.0312488951162604,0.1304046165275011,0.6087766256304266,4.431239885566509,1.2448928524962568,0.10042305400589574,3.9005554109196394,3.8426427756790567,0.2716546712723453,0.21392335230621967,0.4213946526732768,0,0.28681603223524965,2.7723367108707935,1.260723928434659,0.6972691260256246,4.057404293774855,0.99064718586857,1.288144666536719,2.2223803757917917,4.56111210567058,1.92222117463396,2.312108406978371,4.807745216870378,1.9794642186797824,1.2308146608965935,3.542418284402133,4.177640703223799,039 OB Meis2 Thsd7b Gaba,05 OB-IMN GABA,"Lmcd1,Gm5087,Tll1","olfactory bulb; Meis homeobox 2; thrombospondin, type I, domain containing 7B; GABAergic neuron",GABAergic
0527 OB Meis2 Thsd7b Gaba_5,3.0793852097279317,2.1385482581886084,1.7543393824551556,0.5914327872766031,2.955972159231031,2.1193300968891866,0.6587691081536783,2.18729520810617,1.9586394960815845,0,0,2.3695295694712044,2.064302744092168,0.17477143133008802,0.970394795005386,5.122340898256044,2.191993120554331,0,4.648803730268736,3.792687712488948,0.5897430503690565,0.03828191435014879,0.5102935191747304,0,0.6133857901031906,2.1000665104067004,1.239985765637578,0.6009185958553005,4.197574016210195,1.186253016059463,1.9898987492999516,2.8694851527342924,4.4524934936214136,1.457062154202848,3.617048666283891,3.095275086325568,2.2763616523227177,1.48512195896458,3.989640973709725,5.97851685897724,039 OB Meis2 Thsd7b Gaba,05 OB-IMN GABA,"Otogl,Cdh23,Gpc3","olfactory bulb; Meis homeobox 2; thrombospondin, type I, domain containing 7B; GABAergic neuron",GABAergic
