cluster,Zdhhc1,Zdhhc2,Zdhhc3,Zdhhc4,Zdhhc5,Zdhhc6,Zdhhc7,Zdhhc8,Zdhhc9,Zdhhc11,Zdhhc12,Zdhhc13,Zdhhc14,Zdhhc15,Zdhhc16,Zdhhc17,Zdhhc18,Zdhhc19,Zdhhc20,Zdhhc21,Zdhhc22,Zdhhc23,Zdhhc24,Zdhhc25,Abhd4,Abhd6,Abhd10,Abhd11,Abhd12,Abhd13,Abhd16a,Abhd17a,Abhd17b,Abhd17c,Golga7,Golga7b,Lypla1,Lypla2,Ppt1,Selenok,subclass_id_label,class_id_label,cluster.markers.combo,descriptor,neuron_type
5312 Microglia NN_1,0.7918300698557528,0.2757046875633836,0.9745629082939068,0.4495352689117699,1.4988154297868577,1.430895561830864,0.7900266966844979,0.878229449654413,1.4396555434187708,0.00543304283307715,0.30278255423230777,0.9055774555609746,5.5037776343686895,0.01718371348430146,0.4213777499734631,1.693590591519847,1.2103985268714224,0.00726620681941238,4.687289669928651,0.958531911170309,0.0973850461954265,0.05647497590635048,0.4676347738383309,0,0.9911968798891314,2.6525901231310987,0.3632200601614299,0.33233452324345686,8.50622906384281,0.6221172817618896,1.2397438461091106,1.7670338667382424,1.5320358362298738,2.068432358811125,1.62793695894594,0.28180009703411,1.42920567482497,0.8652331352079055,4.804931389272451,4.220331532579814,334 Microglia NN,34 Immune,"C1qa,Tmem119",microglial cell; non-neuronal cell,NN
5313 BAM NN_1,0.766488232110676,0.29883867188503865,1.3551290781365688,0.6936662147937086,1.6304390357534373,1.8600716021118595,1.3884082863035785,1.0952558602242175,2.0267497260404346,0,0.40216606575598246,0.7437247865400138,7.227579305385627,0.01325084966412648,0.6660056816225879,2.3641321962622457,1.426920013271728,0.00997732679331794,5.154205093682236,1.2504307559001158,0.11623845364935537,0.4434171657304506,0.6796094024842698,0,1.4426745045744678,2.4939837467619568,0.6166719435628074,0.4040439423931442,7.77883704831217,0.7195481129764324,1.5830073120922994,2.6166540667478255,2.260263482333926,0.7352625513144612,2.329894640367706,0.2826197201632504,1.9696671571026148,1.6759616989499304,5.171748112139967,5.396045520668518,335 BAM NN,34 Immune,"Mrc1,Pf4",border-associated macrophage; non-neuronal cell,NN
5314 BAM NN_1,0.9181124318467868,0.2921057396436636,1.4422272800467246,0.6922515762047133,1.8083180311985192,1.5951404232629751,1.3659485759003076,1.1002994298765485,2.1957372066901777,0.00926250503176734,0.5286065498479479,0.6518726686085888,7.084719403720359,0.02556244040857246,0.7312526311447372,2.124608970315387,1.402266330895224,0.00265994576926594,5.114840887587547,1.184449025223928,0.13466345238702554,0.509073050545731,0.5795051644860046,0,1.4047685799737644,2.2265636500688673,0.5568443735864201,0.4643519970230287,7.32179143925296,0.7237062357636149,1.939128443969423,3.044868471780057,2.286097481984489,0.8079287138236018,2.704305438175215,0.30050321462396706,1.7966148671988655,1.876958608118964,5.050283289497934,6.452479117291145,335 BAM NN,34 Immune,"Mrc1,Pf4,Fos",border-associated macrophage; non-neuronal cell,NN
5315 Monocytes NN_1,0,0.270785649617513,0.4512305837689024,0.5083285823012843,0.2265891017335834,1.004268877434008,0,0,0.7108820568431508,0,0,0,0.9763934540026116,0,0,0.7287930286291874,2.352593118494207,0,2.195565368189956,0.4885853565100467,0.5039901588902329,0,0,0,0.2708070061423562,0.2118960293856534,0,0.5174715446703362,2.2364520448626894,0.9292545318603516,0.45509196772719873,1.252880284280488,0.7498645637974595,0,1.4431811679493298,0.48580634955203894,0.9957704977555708,0.9309207598368326,4.070645939220082,3.25870655522202,336 Monocytes NN,34 Immune,"Tyrobp,S100a9",monocyte; non-neuronal cell,NN
5316 DC NN_1,0.4096366882324219,1.3753727118174237,1.9949110825856529,0.5357659657796224,1.5902416229248046,2.3099655469258624,1.0741940498352052,1.7829046408335367,1.524945878982544,0,0.5011711915334066,3.437696584065755,2.665146493911743,0.3246697743733724,0.42012605667114256,1.5376220226287842,1.9611217816670736,0,3.341213035583496,3.5324021021525067,0.24272553126017252,2.848966423670451,0.8319775422414144,0,1.0445643424987794,0.7761934121449788,0.7321429093678792,0.9114629745483398,3.5377435207366945,0.9593717416127524,3.2372443358103435,5.098338413238525,2.269882806142171,1.2526449044545491,4.05195304552714,0.16913307507832845,3.3210511525472004,1.5624595483144124,8.990511957804362,5.3416037718455,337 DC NN,34 Immune,"Cd74,Clec9a",dendritic cell; non-neuronal cell,NN
5317 DC NN_1,0.9234064964398946,0.4740495877723171,1.9619871818856016,0.8036655399897327,2.745943356866706,1.2937664463095468,2.2884948155651355,1.444674981783514,2.7462813103035706,0,0.3724060385194543,1.383846694475984,1.5893352129688,0,0.6544483328518802,2.048215036522852,1.5645881156398826,0,4.901894138283925,2.52974113699508,0,0.6836479004115275,0.07889990610619114,0,1.6874162268965212,0.5216970117124793,0.4797441208199279,1.353204701044788,5.3722653258336734,0.5439270489836392,1.6756359061149702,4.260492174592737,2.36093388518242,1.6572035044839937,3.2234391055695,0.10200355477529029,2.0579158377974003,2.087474045688159,3.482050889158902,5.44183998891752,337 DC NN,34 Immune,"Cd74,C1qb",dendritic cell; non-neuronal cell,NN
5318 DC NN_1,0.3224412477933444,0.1747393398494511,1.860070280976348,0.5976784438877315,1.325427545295967,1.720159939357213,0.8671424703283624,0.7541325668712239,1.8334668023245675,0,0.34816635047996436,1.3234615928524145,1.5038949316674537,0.15279070885626825,0.3453801778646616,1.467050240590022,1.429531312250829,0,4.041422836073152,2.375585349051507,0.03423268192417019,0.765316211260282,0.2992971598447024,0,0.7759513802580781,0.8526721262669825,0.45035975319998606,0.79633208159562,3.540652958901374,0.856359295792632,1.2925761008000636,4.27837870147202,2.437222446714129,1.3077938425671922,2.6093083161574144,0.18480003011095655,2.7406398935632392,2.286870898781242,3.2314589757185717,4.637331493608245,337 DC NN,34 Immune,"Cd74,Ccl17",dendritic cell; non-neuronal cell,NN
5319 B cells NN_1,0.3497552023993598,0.8687434832255045,0.8628087255689832,0.30329717000325523,0.8846415201822917,1.2272051493326823,0.7061553849114313,0.8483504401312933,0.6879217889573839,0,0.3259184307522244,0.6654520034790039,2.137930997212728,0,0.34812789493136936,3.039764902326796,3.5577587763468426,0,3.909141710069445,1.0439045588175455,0,0.17506737179226345,0.17987791697184244,0,0.1886392381456163,1.2504842758178711,0.915634897020128,0.16037772496541342,1.4189753214518228,0.35832881927490234,1.243755414750841,2.327852736579047,5.40379663043552,0.7045946651034884,3.4909524705674913,0.17241438759697808,2.1766798655192057,0.7037052472432455,1.876155545976427,3.5864305284288194,338 Lymphoid NN,34 Immune,"Cd74,Igkc",lymphocyte; non-neuronal cell,NN
5320 ILC NN_2,0.22846717493874685,0.855792624609811,1.3686127832957675,0.2887828690665109,0.786076375416347,1.212426441056388,1.0355102164404733,1.2290339469909668,0.5003790855407715,0,0.4818970816476004,0.5016783475875854,1.3341708523886544,0,0.26952569825308664,2.6212795632226125,4.173718248094831,0,2.4535831723894392,1.595054030418396,0,0,0.27488761288779123,0,0.2638748713902065,1.058285883494786,0.7981621878487724,1.0120161771774292,0.539897118295942,0.5555797134126935,1.777499863079616,2.1288135051727295,3.8271540573665073,0.9365080084119524,1.3604816538946969,0,2.12977067061833,1.7082658324922837,1.4472488164901731,4.748989513942173,338 Lymphoid NN,34 Immune,"Il1rl1,Gata3",lymphocyte; non-neuronal cell,NN
5321 NK cells NN_3,0.22717588598077945,0.3923458619551225,1.3486314903606067,0.8969886700312296,1.4709022370251743,1.186114658008922,0.4970980196288138,1.1083338477394795,0.5110063841848662,0,0.16089283336292615,0.568127661040335,0.5240552714376738,1.6815774332393298,0.3893273310227828,1.9887778867374768,4.250512820301634,0,4.167562950741161,2.1348780501972544,0.18065104340061997,0.11589660427787088,0.10635778398224802,0,0.6762918053251324,0.4230557029897517,0.5223925547166304,0.16836421417467523,1.8051740942579328,0.5660862091815833,1.191498080889384,2.2570479602524727,2.905526533271327,0.2245534983548251,2.1397834727258394,0.05858702009374445,1.9714476267496743,1.559151049816247,2.068923411947308,3.82778613133864,338 Lymphoid NN,34 Immune,"Ccl5,Fcer1g",lymphocyte; non-neuronal cell,NN
5322 T cells NN_4,0.3013875496447386,1.7766660541745287,1.242898111966387,0.4999829920093019,1.03442063403489,1.0500725262129127,0.6617755099157592,1.2338940270582035,0.45550580959224224,0,0.4623269435748383,0.30367701017676885,0.4313767783006831,1.5390019392847416,0.5050042430360113,1.5574740189403744,4.436002982920738,0,4.4430275921845555,1.7474640601843443,0.14761094711533743,0.1637547219817962,0.28850679062119683,0,0.1729016974942768,0.6177711510778072,0.7629288548800215,0.24897609643600693,1.6332561478542922,0.5203454482495485,1.3023930027257258,2.2802864582694355,1.7633327479338523,0.30050305026260454,1.739853609746425,0.20951995418299385,1.6949235901760695,2.0193654951737754,1.815554975864276,4.6776284308888805,338 Lymphoid NN,34 Immune,"Ptprc,Cd3d",lymphocyte; non-neuronal cell,NN
