cluster,Zdhhc1,Zdhhc2,Zdhhc3,Zdhhc4,Zdhhc5,Zdhhc6,Zdhhc7,Zdhhc8,Zdhhc9,Zdhhc11,Zdhhc12,Zdhhc13,Zdhhc14,Zdhhc15,Zdhhc16,Zdhhc17,Zdhhc18,Zdhhc19,Zdhhc20,Zdhhc21,Zdhhc22,Zdhhc23,Zdhhc24,Zdhhc25,Abhd4,Abhd6,Abhd10,Abhd11,Abhd12,Abhd13,Abhd16a,Abhd17a,Abhd17b,Abhd17c,Golga7,Golga7b,Lypla1,Lypla2,Ppt1,Selenok,subclass_id_label,class_id_label,cluster.markers.combo,descriptor,neuron_type
0511 DG-PIR Ex IMN_1,1.5638957023620603,1.1382642253752675,1.919897766523464,0.686108071316955,1.3718817669858214,2.250252062274564,0.6371667718374601,1.251293905319706,0.6397134719356414,0,0.0735950316152265,1.844022894418368,1.9315332289664977,0.7052663474954585,0.6450532328697943,5.136187655951387,1.4543770923409411,0.14493567969209403,5.116726993232645,4.46486246970392,0,0.13673269107777586,0.4390466187589912,0,0.34364464462444344,1.8362866319635864,1.6940135391809608,1.1960353030953357,2.815184008690619,1.1036543538493495,1.9961526829709288,2.9745738378135105,3.913157632274012,2.069537696018014,2.8790741530797814,0.3506640054846323,1.8814208328082995,1.489316596779772,2.75271878703948,6.260472497632427,038 DG-PIR Ex IMN,04 DG-IMN Glut,"Eomes,Celsr1,Tenm1,Meis2",Dentate gyrus-Piriform area; excitatory neuron; immature neuron,immature
0512 DG-PIR Ex IMN_2,2.5271056136865724,0.7800887151696216,2.242236458022019,1.253106147393413,1.609090355620987,2.261401510786736,0.8788089587770659,1.2240090562009265,0.8771599298236014,0,0.18440720678746017,1.9131375866374751,2.5516747688424997,0.6247530449395893,0.8372756146836555,3.905163296337786,0.8749935489961471,0.11560211510493835,4.759119370888019,3.2614845188184716,0.11602201681027469,1.8312710619520869,0.8743658970142233,0,0.22319743002968273,1.6813206974117236,1.556600395290331,0.9148933311988569,2.6403947643850043,0.46587295093755615,1.771458899837801,2.6898651698539995,3.9859699353404423,2.5169057955687073,2.521529729338898,0.6294190445165525,1.7936890837789952,1.758824923942829,2.6585426577206315,5.67753693701207,038 DG-PIR Ex IMN,04 DG-IMN Glut,"Draxin,Mndal,Eomes,Adamts18",Dentate gyrus-Piriform area; excitatory neuron; immature neuron,immature
0513 DG-PIR Ex IMN_2,2.069471305775865,0.7090227804451346,2.109119241482744,1.4608462101945252,1.371903098632242,2.688200086076683,1.082283577072286,1.418021968591993,0.3655103166526723,0,0.17505390398970275,2.577216241961328,1.645421803554642,0.9520574150798476,0.7834098717876684,4.147545386697645,0.8639070386084441,0.4160353179289916,4.85552427701861,3.9866094099026976,0,0.3442406164151486,0.8507030210762381,0,1.52858077699893,1.631169546430356,1.5009748289518268,1.6530726735836991,3.4119241750128917,0.7374519098584897,1.5577775340213953,3.212720483262962,5.395148379780422,3.0244494821423684,2.479432591768069,0.30525306897742727,3.096616611302456,1.4988676053341303,2.5869394195414035,5.532586146737928,038 DG-PIR Ex IMN,04 DG-IMN Glut,"Neurod4,Mfap4",Dentate gyrus-Piriform area; excitatory neuron; immature neuron,immature
0514 DG-PIR Ex IMN_2,2.5409807410894656,1.603992664346508,2.649808136855855,0.998152959580515,1.5804850879837484,2.515183867192736,0.9710901706826454,1.8176378420754975,2.312901285349154,0,0.2580113177206002,2.3676373315792456,2.200662622264787,1.3425272282432108,1.1050674319267273,4.826074698392083,1.4434627411412255,0.09896902710783716,4.749371904952853,3.7383384844836063,0.15993650169933543,3.568790205553466,0.9672967686372644,0,0.4024809996287028,2.2321327994851505,1.52697534420911,0.9449241745705698,3.7491316023994896,1.1502152190488928,1.567456747971329,3.449942003278171,4.014157981264825,3.665458611413544,2.469907200803944,1.9477557341257732,1.5629762165686665,1.998041924308328,3.6791074088975497,5.809595226072798,038 DG-PIR Ex IMN,04 DG-IMN Glut,"Draxin,Fam163a,Ntf3",Dentate gyrus-Piriform area; excitatory neuron; immature neuron,immature
0515 DG-PIR Ex IMN_2,2.6095539828335936,0.5422557496744592,1.8679052668308325,0.612831015876128,1.2517516020459438,2.204098227439328,0.6429806940709542,1.0676028779808089,1.2201800281054354,0,0.1201227266494542,1.6349071364580068,1.7991281442212963,0.6714896642531901,0.6849000327974383,4.296997256941525,1.2384475625891045,0.02787195959669736,4.562208661827789,3.2389965029378693,0.07015210541727025,2.1063219096562635,0.573683783499462,0,0.33258827418497167,1.782580167580024,1.297135464132649,0.6551878158360311,2.7156042511449168,0.5411510346220431,1.2359523437261115,2.8553776451752846,3.1616510626387924,2.677455733200342,2.340664821594895,0.963752601944537,1.1391103421638624,1.504263853606879,2.8791744853652386,5.167117004058599,038 DG-PIR Ex IMN,04 DG-IMN Glut,"Draxin,Mndal,Rarb",Dentate gyrus-Piriform area; excitatory neuron; immature neuron,immature
0516 DG-PIR Ex IMN_3,1.5455221500170335,1.286055349100945,1.3623215366895545,0.5017840119426965,1.0803047846615843,1.8034789066993873,0.4822283010454489,1.1951950020889146,1.2157659410369148,0,0.10289386967169424,1.4113854371475536,1.0256700933156453,0.5231901396629718,0.6621408915307472,4.322160736389613,0.8636251705690379,0.04381846391128857,4.026384764679816,3.370544326765247,0.08829599530477553,0.383836241079721,0.539619153614214,0,0.3372294131655368,1.8421660424693755,1.2825743593165004,0.7862318488893594,2.211987257003784,0.50026355935841,1.2157149505898224,2.6449475903893083,2.319547709088651,1.881246471971008,1.8392428566511023,2.184125586150308,0.6910477986321605,1.1878243193074574,3.2026568131206297,4.976539445560127,038 DG-PIR Ex IMN,04 DG-IMN Glut,"2610307P16Rik,Tbr1,Igfbpl1,Scml4",Dentate gyrus-Piriform area; excitatory neuron; immature neuron,immature
0517 DG-PIR Ex IMN_3,1.349237566902524,4.608491522925241,2.784332650048392,1.0494617961701893,1.550268570582072,1.8212918781098864,0.7252331234159923,2.8404305548894975,2.359833319981893,0,0.1226435729435512,2.095839296068464,3.4816831066494895,0.627422673361642,0.8761579082125709,4.009675298418317,1.2057935737428211,0.15303432373773485,4.979611374083019,3.6970785004752025,0.1226435729435512,1.0122023764110746,0.7444942792256674,0,0.605924265725272,1.7756268069857644,1.363233202979678,1.8108107021876745,4.49741480464027,1.366192204611642,1.196656999133882,3.7372273831140426,3.585017999013265,2.814744131905692,2.5855211303347634,3.3899084499904086,1.5703914960225422,2.516768841516404,4.108311585017613,5.642419474465506,038 DG-PIR Ex IMN,04 DG-IMN Glut,"Antxr2,Tfap2d,Igfbpl1",Dentate gyrus-Piriform area; excitatory neuron; immature neuron,immature
0582 OB Dopa-Gaba_1,3.1390163474186963,1.9684709101128384,2.5195360900887667,0.7754194591403966,1.9247970477037395,1.91740314612843,0.8386912209021374,2.7261344808935433,0.989656946004874,0.00861330229434025,0.12673795866500906,1.2508486486056094,2.8688083379331606,0.5863203405649599,0.7520865277225744,4.878290180223818,2.1961195947929584,0.0433061580022906,4.8038966236924745,3.9508459986830142,0.1491889838646802,0.15058920988396032,0.9254287846737148,0,0.9914837556920012,3.978570575692213,1.8621957085847032,0.7546523381045984,3.7800735036760194,1.5404032396257403,1.736632855149279,3.3198925444233978,3.833672697043173,1.0326425697992372,3.2245105333908555,2.715955141901833,2.650722252378234,4.69385064045132,4.336336919826153,5.270988920389168,044 OB Dopa-Gaba,05 OB-IMN GABA,"Trh,Nppa,Kit,Gal",olfactory bulb; dopaminergic neuron-GABAergic neuron,dopaminergic-GABAergic
0583 OB Dopa-Gaba_1,2.3036331780131967,0.6025569985831517,2.021879294822956,0.6649551405899529,1.2473523312958998,1.5184062059851422,0.7363654226734899,1.7220862494415787,1.1705025096704578,0,0.0968915361693238,1.17408442675978,4.1183357245918515,0.6023513738183246,0.6231795880033159,4.544387439916516,1.6128274547285226,0.04421879255074611,4.01484631848657,3.1823021875864743,0.2498549178265024,0.0134398104368836,0.6173915291118479,0,0.5362565806959344,3.3969732353176134,1.5161748683077283,0.672621960046588,3.427732464076876,1.3104629294983092,1.4318324250617307,2.844164523763814,3.461327334751432,1.0324323588404165,2.657452483942126,1.0722396491706996,2.040327152212163,3.1210152191379437,3.337526301393981,4.633505927032974,044 OB Dopa-Gaba,05 OB-IMN GABA,"Gpr174,Gal,9330158H04Rik",olfactory bulb; dopaminergic neuron-GABAergic neuron,dopaminergic-GABAergic
0584 OB Dopa-Gaba_1,2.0356166026772344,1.3871976896498894,1.6747121300208123,0.6139906251040763,1.177389414764714,1.2525785203178947,0.6622216585926972,1.4788912915054544,0.8604616882298415,0,0.10668670176922132,0.7186991606651056,2.50605057003533,0.29581465393204026,0.4973810743183536,3.433017368918745,1.44937198191646,0.06341928398192534,3.6544838397855015,2.8184625142859767,0.1737573961260085,0.01486603490663891,0.41155944951088613,0,0.784808591629768,2.571645990971648,1.2304069256701895,0.3648237461705085,2.6189597499679684,1.1428414831838856,1.255546390271106,2.3511451282522726,2.7305036128709657,0.6339195658953644,2.46437262521118,0.5875217105517124,1.5384886176099637,3.620055948061766,3.218519284464461,4.470390090275778,044 OB Dopa-Gaba,05 OB-IMN GABA,"Scgn,Trh,Col6a1,Cd24a",olfactory bulb; dopaminergic neuron-GABAergic neuron,dopaminergic-GABAergic
